area,bedrooms,age,price
3674,4,23,552916
1360,2,30,166733
1794,3,5,314244
1630,4,1,303550
1595,5,19,296183
3592,1,27,482751
2138,5,10,403113
2669,4,3,486151
966,4,14,195813
1738,4,5,330980
830,5,29,142057
1982,4,37,281700
2635,5,1,476744
3944,4,14,624752
3671,3,10,584545
3419,4,7,561005
630,5,25,131383
2185,2,4,337578
3880,4,5,659123
1269,2,25,172923
2891,3,3,465456
2015,1,18,278007
3985,3,19,615386
3353,4,32,481511
2933,2,19,427212
1715,2,11,259149
1455,5,0,314184
2824,2,25,406797
1684,5,13,329932
959,1,37,67007
3885,4,36,546343
521,5,10,145470
2800,1,35,342376
1247,2,12,185249
3404,2,2,540476
974,1,32,58345
1582,2,5,249514
3058,1,9,432426
2547,5,4,461412
3247,5,22,519347
1475,1,9,224698
2306,5,1,449072
689,5,12,155007
3505,5,39,507600
3234,3,1,547525
3505,4,19,555435
1062,2,0,203878
2399,3,36,320681
1767,5,8,328956
3379,1,16,466137
2028,5,8,393860
3702,4,10,595522
1146,5,14,247343
2568,1,23,350901
3388,4,37,474964
2714,5,34,402774
1797,4,29,260574
2935,2,30,394124
1100,2,4,205284
2863,5,13,488052
2561,4,10,451934
741,1,8,110415
2541,5,33,388081
3324,2,11,514441
3917,2,34,534742
3112,5,34,460385
3445,4,0,602309
1863,2,39,216192
2639,4,21,396983
1890,2,28,234163
3503,2,7,546204
1978,3,10,310672
3999,2,36,517145
3056,1,13,448525
1275,5,29,194153
534,5,34,61120
2753,4,20,433370
3652,2,36,481252
2455,1,4,394251
2085,4,18,328266
3959,3,13,597246
3573,4,25,539496
1521,4,3,298279
3961,2,24,543741
3113,3,24,446253
1629,4,17,283911
2000,1,39,189183
1202,1,7,185872
2949,5,38,442430
3277,3,39,435245
2079,3,13,320164
661,5,31,105773
701,4,37,56289
2481,3,32,347440
1495,1,22,176338
2817,1,14,420242
1315,2,32,154380
3842,3,24,576388
955,4,16,181542
1775,5,32,270920
1516,5,1,308138
2843,4,13,449919
3267,2,39,415584
837,5,39,97567
1378,3,38,135508
1576,2,5,254113
1291,3,5,221369
2764,1,2,431490
1263,2,6,203150
2735,5,7,505759
879,2,14,146616
992,2,28,111505
3612,2,32,484587
1680,2,29,211588
2562,3,38,336423
564,1,26,39662
3068,4,35,425377
1867,2,28,237777
1652,5,37,247020
2527,2,32,312932
3195,5,36,452386
1995,3,26,296082
3634,5,32,561066
1662,4,3,307309
2022,1,21,253287
3140,5,1,585311
891,5,9,218225
2198,1,4,318707
918,4,9,176145
2836,2,32,360106
878,5,37,129957
2296,1,12,330136
2778,3,30,379981
3565,1,35,431185
2588,3,23,392539
3599,4,14,593000
2682,2,28,364121
700,1,7,110660
2363,5,4,427534
1279,4,28,184511
3477,1,3,526057
3604,5,11,594659
3619,1,1,558121
1002,3,26,119791
2954,1,30,367959
2251,1,35,240723
1304,1,35,99677
2646,4,25,402853
3231,1,26,418033
2395,5,4,429603
3273,3,19,497771
2070,3,10,358067
1460,1,9,216860
3160,4,39,438195
1985,4,37,258689
3190,5,5,568838
1528,1,7,229930
3789,3,22,563777
1002,4,25,170496
3314,1,11,491183
897,4,25,141060
1370,4,12,237313
3342,3,39,455898
892,2,17,130370
706,5,24,140982
1538,5,32,243941
2381,3,39,310828
3439,4,11,554595
1984,1,35,218629
1363,4,3,268475
3290,3,4,557624
3812,5,36,558088
1063,4,7,222100
1520,5,27,233540
595,1,30,31482
2423,5,8,435872
2257,5,28,337892
3032,2,13,471412
3978,2,39,510096
2778,2,21,391182
3296,5,10,567811
2178,3,22,313961
3742,5,0,644393
1040,3,36,99722
1559,3,20,235892
3072,2,25,433887
1683,4,35,239797
2222,1,22,301056
3814,2,0,631314
3657,2,39,467885
2319,4,14,394452
3125,1,20,443200
3229,5,8,572546
3104,5,8,527226
2097,2,9,314974
3560,1,25,471857
3193,2,34,416932
1295,3,24,173675
1551,2,25,179630
2143,2,10,337881
1863,5,37,267890
2481,5,1,466325
1854,5,6,366485
2163,3,17,351608
2029,5,26,329369
2538,1,33,300339
3919,4,26,589844
1996,1,16,285775
3802,1,23,522863
2737,5,24,457891
3796,4,6,617176
1908,4,5,367644
1900,4,23,279380
1806,3,32,223611
3180,5,28,481782
3175,4,21,490684
1472,3,25,205817
2268,2,27,309907
1782,2,20,266410
3930,3,6,628843
1209,3,16,212177
1979,5,19,325505
1934,5,19,328351
1148,2,21,129726
817,4,27,104774
3796,2,39,483936
1757,4,6,334091
1183,4,0,250997
1163,5,31,195981
2498,1,12,347412
3945,1,29,543315
2131,3,22,302858
1995,5,18,330359
3804,4,31,572801
1636,1,29,175367
2353,4,28,358709
2020,1,28,239172
2989,1,29,398285
1063,1,15,141039
1791,5,39,261665
3957,2,18,588559
3958,4,17,620473
3684,5,0,658743
2136,5,13,367554
3499,5,1,623654
3652,5,27,567381
1198,5,29,202787
2660,3,37,360981
501,4,3,129912
1141,5,0,260918
2767,4,7,493549
2089,3,28,307909
1354,3,38,137883
2259,4,2,422631
3796,1,31,507211
2932,2,9,468288
3974,1,9,578005
2161,1,18,279277
1653,1,33,171381
1576,5,32,226768
2207,3,22,332474
3277,1,27,428883
2195,3,31,299366
2233,4,6,392475
1939,2,28,250248
2794,4,7,490957
1335,4,0,270611
702,5,2,195669
3755,2,23,517291
622,4,22,87405
900,4,7,183078
1266,2,36,126903
793,2,2,139040
2827,4,32,426900
3431,2,27,455575
697,4,7,161990
3529,4,33,530035
2430,5,34,368515
3299,1,31,435170
2691,4,23,419941
1108,3,13,203879
3772,1,31,499089
1647,1,15,205439
686,1,3,119583
3897,5,36,570179
3011,4,20,476476
3920,5,13,664198
2294,4,30,340730
1159,5,17,236076
3311,5,6,591625
3502,3,9,539199
2455,5,6,441903
2950,2,32,394461
1869,3,22,270755
2486,5,20,401501
2034,1,18,284762
646,2,18,96182
3719,2,35,494138
3411,2,28,477195
2234,3,17,360977
2343,5,1,443763
988,5,0,243549
